Lot Name,Rate,Start Date,Event
XX1/XVL,35.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
