Lot Name,Rate,Start Date,Event
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P2 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
P1 Lot,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
XX1/XVL,25.00 ,9/15/2023,UMD vs Virginia
