"combinedname","Sales_Count","Total_Profit"
"11B LotUMD vs Charlotte",76,1520
"11B LotUMD vs Illinois",477,11900
"11B LotUMD vs Indiana",480,12000
"11B LotUMD vs Michigan",665,19950
"11B LotUMD vs Penn State",406,12180
"11B LotUMD vs Towson",187,3740
"11B LotUMD vs Virginia",116,2900
"11B-RVUMD vs Charlotte",4,320
"11B-RVUMD vs Illinois",5,425
"11B-RVUMD vs Indiana",37,3145
"11B-RVUMD vs Michigan",60,5400
"11B-RVUMD vs Penn State",63,5670
"11B-RVUMD vs Towson",4,320
"4B LotUMD vs Charlotte",56,1120
"4B LotUMD vs Illinois",125,3125
"4B LotUMD vs Indiana",128,3200
"4B LotUMD vs Michigan",141,4230
"4B LotUMD vs Penn State",125,3750
"4B LotUMD vs Towson",125,2480
"4B LotUMD vs Virginia",100,2500
"4J LotUMD vs Illinois",46,1150
"4J LotUMD vs Indiana",60,1500
"4J LotUMD vs Michigan",60,1800
"4J LotUMD vs Penn State",67,2010
"A LotUMD vs Charlotte",57,1140
"A LotUMD vs Illinois",57,1425
"A LotUMD vs Indiana",57,1425
"A LotUMD vs Michigan",57,1710
"A LotUMD vs Penn State",57,1710
"A LotUMD vs Towson",57,1140
"A LotUMD vs Virginia",53,1325
"C1 LotUMD vs Charlotte",27,540
"C1 LotUMD vs Illinois",91,2275
"C1 LotUMD vs Indiana",91,2275
"C1 LotUMD vs Michigan",109,3270
"C1 LotUMD vs Penn State",91,2730
"C1 LotUMD vs Towson",90,1800
"C1 LotUMD vs Virginia",66,1650
"CC1 LotUMD vs Charlotte",15,300
"CC1 LotUMD vs Illinois",26,650
"CC1 LotUMD vs Indiana",26,650
"CC1 LotUMD vs Michigan",26,780
"CC1 LotUMD vs Penn State",25,750
"CC1 LotUMD vs Towson",25,500
"CC1 LotUMD vs Virginia",20,500
"FF2 LotUMD vs Charlotte",7,140
"FF2 LotUMD vs Illinois",30,750
"FF2 LotUMD vs Indiana",30,750
"FF2 LotUMD vs Michigan",31,930
"FF2 LotUMD vs Penn State",30,900
"FF2 LotUMD vs Towson",30,600
"FF2 LotUMD vs Virginia",30,750
"GG1 LotUMD vs Charlotte",10,200
"GG1 LotUMD vs Illinois",55,1375
"GG1 LotUMD vs Indiana",55,1375
"GG1 LotUMD vs Michigan",66,1980
"GG1 LotUMD vs Penn State",55,1650
"GG1 LotUMD vs Towson",43,840
"GG1 LotUMD vs Virginia",59,1475
"H LotNA",6,120
"L LotUMD vs Charlotte",3,60
"L LotUMD vs Illinois",90,2250
"L LotUMD vs Indiana",55,1375
"L LotUMD vs Michigan",99,2970
"L LotUMD vs Penn State",91,2730
"L LotUMD vs Towson",53,1060
"L LotUMD vs Virginia",76,1900
"MV LotUMD vs Charlotte",12,240
"MV LotUMD vs Illinois",50,1250
"MV LotUMD vs Indiana",50,1250
"MV LotUMD vs Michigan",59,1770
"MV LotUMD vs Penn State",50,1500
"MV LotUMD vs Towson",50,980
"MV LotUMD vs Virginia",50,1250
"P1 LotUMD vs Charlotte",1,20
"P1 LotUMD vs Illinois",3,75
"P1 LotUMD vs Indiana",72,1800
"P1 LotUMD vs Michigan",126,3780
"P1 LotUMD vs Penn State",103,3090
"P1 LotUMD vs Towson",13,260
"P1 LotUMD vs Virginia",88,2200
"P2 LotUMD vs Charlotte",2,40
"P2 LotUMD vs Illinois",15,375
"P2 LotUMD vs Indiana",6,150
"P2 LotUMD vs Michigan",83,2490
"P2 LotUMD vs Penn State",73,2190
"P2 LotUMD vs Towson",29,580
"P2 LotUMD vs Virginia",51,1275
"PH LotUMD vs Charlotte",23,460
"PH LotUMD vs Illinois",88,2200
"PH LotUMD vs Indiana",88,2200
"PH LotUMD vs Michigan",88,2640
"PH LotUMD vs Penn State",88,2640
"PH LotUMD vs Towson",58,1160
"PH LotUMD vs Virginia",89,2225
"Regents Drive GarageUMD vs Charlotte",174,3480
"Regents Drive GarageUMD vs Illinois",581,14525
"Regents Drive GarageUMD vs Indiana",581,14525
"Regents Drive GarageUMD vs Michigan",626,18780
"Regents Drive GarageUMD vs Penn State",976,29280
"Regents Drive GarageUMD vs Towson",426,8520
"Terrapin Trail GarageNA",3,90
"Terrapin Trail GarageUMD vs Charlotte",43,860
"Terrapin Trail GarageUMD vs Illinois",222,5610
"Terrapin Trail GarageUMD vs Indiana",604,15100
"Terrapin Trail GarageUMD vs Michigan",602,18060
"Terrapin Trail GarageUMD vs Penn State",189,5670
"Terrapin Trail GarageUMD vs Towson",159,3180
"XX1/XVLUMD vs Charlotte",31,635
"XX1/XVLUMD vs Illinois",200,5000
"XX1/XVLUMD vs Indiana",206,5150
"XX1/XVLUMD vs Michigan",220,6600
"XX1/XVLUMD vs Penn State",200,6000
"XX1/XVLUMD vs Towson",87,1740
"XX1/XVLUMD vs Virginia",172,4300
